year,president,party,against,american,change,child,crisis,faith,family,great,hope,together,unite,interesting_total,speech_total,percent_interesting
1790,Washington,#ERROR!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791,Washington,#ERROR!,1,0,1,0,0,0,0,1,1,2,18,24,2303,1.042118975
1792,Washington,#ERROR!,4,0,0,0,0,0,0,0,3,0,5,12,2098,0.5719733079
1793,Washington,#ERROR!,2,0,1,0,0,2,0,0,3,0,22,30,1965,1.526717557
1794,Washington,#ERROR!,8,2,0,0,1,2,0,2,1,0,17,33,2915,1.132075472
1795,Washington,#ERROR!,0,1,2,1,0,1,0,2,2,1,6,16,1986,0.8056394763
1796,Washington,#ERROR!,2,1,1,0,0,0,0,13,1,0,17,35,2867,1.22078828
1797,Adams,#ERROR!,3,1,0,0,0,2,0,5,2,1,19,33,2057,1.604278075
1798,Adams,#ERROR!,1,1,1,0,0,0,0,6,0,1,14,24,2218,1.082055906
1799,Adams,#ERROR!,1,2,1,0,0,3,0,4,1,1,10,23,1505,1.528239203
1800,Adams,#ERROR!,0,0,2,0,0,3,0,7,1,1,7,21,1372,1.530612245
1801,Jefferson,#ERROR!,4,0,2,0,0,2,0,6,1,0,2,17,3224,0.5272952854
1802,Jefferson,#ERROR!,1,2,3,0,0,3,0,7,2,1,1,20,2201,0.9086778737
1803,Jefferson,#ERROR!,1,1,3,0,0,1,0,3,1,2,5,17,2279,0.7459412023
1804,Jefferson,#ERROR!,2,1,0,0,0,1,0,6,0,0,2,12,2101,0.5711565921
1805,Jefferson,#ERROR!,3,0,1,0,0,2,0,2,4,0,1,13,2943,0.4417261298
1806,Jefferson,#ERROR!,5,1,1,0,0,2,0,7,0,1,8,25,2868,0.8716875872
1807,Jefferson,#ERROR!,8,0,2,0,0,0,0,4,0,0,4,18,2394,0.7518796992
1808,Jefferson,#ERROR!,2,0,3,0,2,0,0,7,0,0,8,22,2688,0.818452381
1809,Madison,#ERROR!,1,2,2,0,0,1,0,3,1,1,10,21,1831,1.146914255
1810,Madison,#ERROR!,3,3,2,0,0,0,1,7,0,0,12,28,2446,1.144726083
1811,Madison,#ERROR!,7,4,4,0,2,1,0,7,1,2,15,43,2275,1.89010989
1812,Madison,#ERROR!,10,6,0,0,0,1,0,7,2,2,7,35,3242,1.079580506
1813,Madison,#ERROR!,10,11,1,0,0,0,0,11,2,0,16,51,3258,1.565377532
1814,Madison,#ERROR!,8,10,1,0,0,0,0,12,2,1,2,36,2114,1.702932829
1815,Madison,#ERROR!,4,7,1,0,0,2,0,7,1,1,10,33,3154,1.046290425
1816,Madison,#ERROR!,4,9,3,0,0,2,0,10,0,1,12,41,3367,1.217701218
1817,Monroe,#ERROR!,1,0,4,0,0,1,0,20,1,2,18,47,4427,1.061667043
1818,Monroe,#ERROR!,2,1,1,0,0,0,0,19,4,3,24,54,4377,1.233721727
1819,Monroe,#ERROR!,4,0,3,0,0,2,0,15,2,2,31,59,4711,1.252388028
1820,Monroe,#ERROR!,0,0,6,0,0,1,0,25,3,3,16,54,3441,1.569311247
1821,Monroe,#ERROR!,2,0,7,0,0,2,0,22,1,1,34,69,5823,1.184956208
1822,Monroe,#ERROR!,2,1,1,0,0,3,0,29,4,0,20,60,4734,1.267427123
1823,Monroe,#ERROR!,5,2,3,0,0,2,0,31,7,2,24,76,6382,1.190849264
1824,Monroe,#ERROR!,2,3,2,0,1,4,0,34,9,2,20,77,8418,0.9147065811
1825,Adams,#ERROR!,7,7,6,1,0,4,3,13,5,3,24,73,9003,0.8108408308
1826,Adams,#ERROR!,3,1,7,1,0,3,0,14,5,3,46,83,7748,1.071244192
1827,Adams,#ERROR!,1,2,3,0,0,0,0,17,6,2,30,61,6987,0.8730499499
1828,Adams,#ERROR!,2,3,7,2,0,0,1,31,5,2,26,79,7313,1.080268016
1829,Jackson,#ERROR!,8,2,4,0,0,2,2,23,10,4,25,80,10523,0.7602394754
1830,Jackson,#ERROR!,7,6,14,4,0,3,0,50,13,4,35,136,15072,0.9023354565
1831,Jackson,#ERROR!,2,6,4,0,1,3,0,17,13,1,12,59,7189,0.8206982891
1832,Jackson,#ERROR!,2,4,2,0,0,7,0,16,13,0,12,56,7875,0.7111111111
1833,Jackson,#ERROR!,3,7,13,0,0,5,0,17,12,3,44,104,7901,1.316289077
1834,Jackson,#ERROR!,11,6,16,0,0,7,0,24,8,3,54,129,13446,0.9593931281
1835,Jackson,#ERROR!,7,12,10,0,0,6,1,23,11,2,45,117,10809,1.082431307
1836,Jackson,#ERROR!,7,4,15,0,2,2,0,32,9,3,31,105,12355,0.8498583569
1837,Buren,#ERROR!,4,1,8,0,0,6,1,30,7,2,30,89,11438,0.7781080608
1838,Buren,#ERROR!,14,5,13,0,1,6,0,17,11,1,60,128,11478,1.11517686
1839,Buren,#ERROR!,6,4,15,1,1,8,0,32,6,1,20,94,13419,0.700499292
1840,Buren,#ERROR!,5,5,5,0,2,6,1,31,8,1,17,81,8979,0.9021049115
1841,Tyler,#ERROR!,10,11,10,1,0,5,0,32,5,3,27,104,8240,1.262135922
1842,Tyler,#ERROR!,11,11,10,0,0,5,0,36,6,5,29,113,8401,1.345077967
1843,Tyler,#ERROR!,8,5,14,0,0,0,2,32,7,2,30,100,8026,1.24595066
1844,Tyler,#ERROR!,15,7,8,0,0,2,1,44,9,6,35,127,9309,1.364271135
1845,Polk,#ERROR!,14,22,4,0,0,6,2,54,5,7,77,191,16112,1.185451837
1846,Polk,#ERROR!,36,17,10,0,0,10,0,28,10,2,102,215,18221,1.179957192
1847,Polk,#ERROR!,20,18,9,2,0,5,1,32,5,8,68,168,16411,1.023703613
1848,Polk,#ERROR!,14,10,13,0,0,3,0,76,5,8,49,178,21290,0.8360732738
1849,Taylor,#ERROR!,4,14,3,1,0,5,1,18,5,1,28,80,7619,1.050006563
1850,Fillmore,#ERROR!,8,3,8,0,0,6,0,21,8,3,24,81,8318,0.9737917769
1851,Fillmore,#ERROR!,29,7,3,0,0,3,0,24,13,4,52,135,13243,1.019406479
1852,Fillmore,#ERROR!,13,4,10,1,0,2,3,22,6,5,28,94,9922,0.9473896392
1853,Pierce,#ERROR!,13,4,4,0,0,5,0,25,10,5,35,101,9587,1.053509961
1854,Pierce,#ERROR!,4,6,6,0,0,1,0,25,8,3,44,97,10134,0.9571738701
1855,Pierce,#ERROR!,13,12,6,0,1,9,0,51,5,3,66,166,11610,1.429801895
1856,Pierce,#ERROR!,9,3,7,1,0,2,1,32,3,1,59,118,10473,1.12670677
1857,Buchanan,#ERROR!,30,7,10,0,3,3,2,42,6,5,45,153,13651,1.120797011
1858,Buchanan,#ERROR!,21,22,7,2,2,1,0,31,11,1,70,168,16347,1.027711507
1859,Buchanan,#ERROR!,22,26,9,1,1,6,0,25,8,2,32,132,12336,1.070038911
1860,Buchanan,#ERROR!,30,17,8,1,0,5,1,19,7,3,41,132,14025,0.9411764706
1861,Lincoln,#ERROR!,11,3,2,0,0,4,0,16,7,7,9,59,6976,0.8457568807
