"","year","asylum","border","borders","canada","citizen","citizens","citizenship","cross","crossing","cuba","customs","deport","deportation","deportations","deported","detain","detained","documented","emigration","ethnic","foreign","foreigner","hispanic","illegal","immigrant","immigrants","immigrate","immigration","labor","laborers","latin","latino","mexican","mexico","migrant","migrants","minorities","minority","naturalization","naturalized","racial","racism","racist","refugee","refugees","separate","separated","undocumented","immigration_total","percent_immigration","afghanistan","afraid","army","battle","combat","conflict","cyber","cybersecurity","enemies","enemy","fear","fears","fight","fights","force","fought","genocide","iran","iraq","isis","israel","jihad","korea","marine","marines","militant","military","missile","missiles","navy","nuclear","proxy","qaeda","russia","soldier","soldiers","soviet","struggle","taliban","terror","terrorism","terrorist","terrorists","threat","threaten","threatens","threats","trench","trenches","troop","troops","ussr","vietnam","war","warfare","wars","wartime","war_total","percent_war","billionaire","billionaires","cash","class","consumer","consumers","crash","crashes","debt","demand","downturn","economic","economics","economy","employment","exchange","finance","financial","gdp","goods","growth","inflation","job","jobs","loan","loans","market","markets","millionaire","millionaires","paycheck","paychecks","pension","pensions","pocketbook","poor","poverty","price","prices","recession","retire","retirement","rich","saving","stock","stocks","tax","taxes","trade","unemployed","unemployment","economy_total","percent_economy","president","party","against","american","change","child","crisis","faith","family","great","hope","together","unite","interesting_total","percent_interesting"
"1",1866,0,0,0,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,1,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,2,1,0,0,0,0,0,0,0,0,53,0.743650905,0,0,2,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,8,0,0,3,0,0,0,4,3,2,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,30,0,1,0,73,1.024273888,0,0,0,3,0,0,0,0,5,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,4,1,2,1,0,30,0.420934475,"Johnson","Democratic",11,5,6,0,1,9,0,19,3,1,34,89,1.248772274
"2",1867,0,0,0,0,12,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,1,6,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,0,49,0.408980886,0,0,6,2,0,5,0,0,3,3,1,1,1,0,14,1,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,39,0,2,0,106,0.884734162,0,0,1,15,0,0,0,0,12,6,0,1,0,4,0,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,4,1,0,0,11,1,8,0,0,79,0.659377347,"Johnson","Democratic",10,9,6,3,0,14,0,37,2,8,18,107,0.893080711
"3",1868,3,0,0,0,13,12,1,1,0,2,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,1,7,0,2,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,66,0.672303148,0,0,7,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,45,0,2,0,85,0.865844963,0,0,1,4,0,0,0,0,20,9,0,1,0,5,0,2,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,0,2,1,0,0,9,1,6,0,0,77,0.784353672,"Johnson","Democratic",5,8,4,0,0,4,2,26,6,0,38,93,0.947336253
"4",1869,0,1,1,1,15,9,1,0,0,8,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,8,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,56,0.727083874,0,0,8,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,0,3,1,1,0,4,0,0,0,0,0,1,1,1,0,0,0,3,3,0,0,25,0,1,0,66,0.85692028,0,0,2,5,0,0,0,0,13,1,0,2,0,1,1,1,0,1,0,0,1,0,0,0,1,0,2,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,9,1,6,0,0,55,0.714100234,"Grant","Republican",7,3,6,0,0,6,2,19,7,0,40,90,1.168527655
"5",1870,0,5,2,8,16,14,0,1,0,7,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,0,0,0,11,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,92,1.053113553,0,0,6,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0,0,0,1,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,31,0,0,0,65,0.744047619,0,0,1,1,1,0,0,0,7,4,0,1,0,1,2,2,0,0,0,2,1,0,0,0,1,0,4,2,0,0,0,0,11,5,0,0,0,3,1,0,0,0,2,1,0,0,8,1,10,0,0,72,0.824175824,"Grant","Republican",6,14,5,0,0,4,0,28,8,1,57,123,1.407967033
"6",1871,0,0,0,0,17,17,0,0,0,5,1,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,0,1,6,2,3,0,0,2,2,2,0,0,1,0,0,1,0,0,0,1,1,0,73,1.130380923,0,0,2,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,2,0,0,2,0,0,7,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,16,0,0,0,46,0.712294828,0,0,0,3,0,0,0,0,2,2,0,1,0,1,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,1,0,0,25,0.387116754,"Grant","Republican",6,8,5,4,0,0,2,20,8,0,34,87,1.347166305
"7",1872,0,2,0,0,11,11,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,4,0,3,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50,1.253446979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,2,0,0,19,0,0,0,36,0.902481825,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0.150413638,"Grant","Republican",0,6,4,0,0,0,1,18,7,0,29,65,1.629481073
"8",1873,0,0,0,1,20,18,1,1,0,9,0,0,0,0,0,0,0,0,0,0,10,1,0,3,0,0,0,1,5,0,5,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,80,0.798243864,0,0,4,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,2,1,0,4,0,0,11,0,0,0,2,2,2,0,1,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,32,0,0,0,78,0.778287767,0,0,2,8,2,2,0,0,4,8,0,1,0,3,1,4,0,4,0,0,2,4,0,0,2,1,4,1,0,0,0,0,11,2,0,0,0,4,3,0,0,0,0,3,1,0,0,0,7,1,0,85,0.848134105,"Grant","Republican",15,18,6,3,1,0,0,21,7,1,46,118,1.177409699
"9",1874,0,0,0,0,28,23,6,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,0,2,1,1,0,0,16,1,1,0,1,4,1,1,0,0,8,2,0,0,0,0,0,1,0,0,113,1.229062432,0,0,4,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,1,1,0,0,0,1,0,0,0,3,1,0,2,0,0,2,2,0,0,17,1,0,0,56,0.609092887,0,0,0,6,1,0,0,0,15,4,0,0,0,1,5,7,0,1,0,2,2,0,0,0,0,0,3,1,0,0,0,0,4,2,0,0,0,1,1,0,0,0,0,0,0,0,5,0,4,1,0,66,0.717859474,"Grant","Republican",8,11,10,1,0,6,0,25,11,1,30,103,1.120295845
"10",1875,0,0,0,0,29,27,5,0,0,11,3,0,0,0,0,0,0,0,2,0,14,2,0,0,0,0,0,0,2,1,5,0,3,5,1,0,0,0,7,7,0,0,0,0,0,4,1,0,129,1.057117102,0,0,3,0,0,8,0,0,0,0,1,0,2,0,9,0,0,0,0,0,0,0,0,3,0,0,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,27,2,0,0,74,0.60640826,0,0,1,4,6,5,0,0,4,12,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,4,2,0,0,0,0,12,4,0,0,0,1,1,0,0,0,1,0,1,0,9,2,4,0,0,79,0.647381791,"Grant","Republican",6,11,6,4,0,2,0,32,10,2,59,132,1.081701221
"11",1876,0,0,0,0,22,19,3,0,0,6,0,0,0,0,0,0,0,0,1,0,17,2,0,0,1,1,0,0,12,0,2,0,2,6,4,3,0,0,6,3,0,0,0,0,0,1,0,0,111,1.634035036,0,0,6,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,2,2,0,0,21,0,0,0,53,0.780214927,0,0,0,3,0,0,0,0,4,2,0,1,0,3,1,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,2,1,2,0,0,31,0.456352127,"Grant","Republican",11,5,9,1,0,1,0,15,2,3,47,94,1.383777418
"12",1877,0,9,2,0,15,13,1,1,1,2,4,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,4,0,1,0,6,7,1,1,0,0,1,1,0,0,0,0,0,0,0,0,79,0.985406012,0,0,10,1,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,18,0,0,0,58,0.723462642,0,0,0,4,0,0,0,0,13,4,0,0,0,0,3,3,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,3,0,0,10,5,10,0,0,67,0.835724086,"Hayes","Republican",6,7,10,0,0,6,0,22,3,0,28,82,1.022826494
