year,president,party,against,american,change,child,crisis,faith,family,great,hope,together,unite,interesting_total,speech_total,percent_interesting
1790,Washington,Nonpartisan   [13],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791,Washington,Nonpartisan   [13],1,0,1,0,0,0,0,1,1,2,18,24,2303,1.042118975
1792,Washington,Nonpartisan   [13],4,0,0,0,0,0,0,0,3,0,5,12,2098,0.571973308
1793,Washington,Nonpartisan   [13],2,0,1,0,0,2,0,0,3,0,22,30,1965,1.526717557
1794,Washington,Nonpartisan   [13],8,2,0,0,1,2,0,2,1,0,17,33,2915,1.132075472
1795,Washington,Nonpartisan   [13],0,1,2,1,0,1,0,2,2,1,6,16,1986,0.805639476
1796,Washington,Nonpartisan   [13],2,1,1,0,0,0,0,13,1,0,17,35,2867,1.22078828
1797,Adams,Federalist,3,1,0,0,0,2,0,5,2,1,19,33,2057,1.604278075
1798,Adams,Federalist,1,1,1,0,0,0,0,6,0,1,14,24,2218,1.082055906
1799,Adams,Federalist,1,2,1,0,0,3,0,4,1,1,10,23,1505,1.528239203
1800,Adams,Federalist,0,0,2,0,0,3,0,7,1,1,7,21,1372,1.530612245
1801,Jefferson,Democratic-  Republican,4,0,2,0,0,2,0,6,1,0,2,17,3224,0.527295285
1802,Jefferson,Democratic-  Republican,1,2,3,0,0,3,0,7,2,1,1,20,2201,0.908677874
1803,Jefferson,Democratic-  Republican,1,1,3,0,0,1,0,3,1,2,5,17,2279,0.745941202
1804,Jefferson,Democratic-  Republican,2,1,0,0,0,1,0,6,0,0,2,12,2101,0.571156592
1805,Jefferson,Democratic-  Republican,3,0,1,0,0,2,0,2,4,0,1,13,2943,0.44172613
1806,Jefferson,Democratic-  Republican,5,1,1,0,0,2,0,7,0,1,8,25,2868,0.871687587
1807,Jefferson,Democratic-  Republican,8,0,2,0,0,0,0,4,0,0,4,18,2394,0.751879699
1808,Jefferson,Democratic-  Republican,2,0,3,0,2,0,0,7,0,0,8,22,2688,0.818452381
1809,Madison,Democratic-  Republican,1,2,2,0,0,1,0,3,1,1,10,21,1831,1.146914255
1810,Madison,Democratic-  Republican,3,3,2,0,0,0,1,7,0,0,12,28,2446,1.144726083
1811,Madison,Democratic-  Republican,7,4,4,0,2,1,0,7,1,2,15,43,2275,1.89010989
1812,Madison,Democratic-  Republican,10,6,0,0,0,1,0,7,2,2,7,35,3242,1.079580506
1813,Madison,Democratic-  Republican,10,11,1,0,0,0,0,11,2,0,16,51,3258,1.565377532
1814,Madison,Democratic-  Republican,8,10,1,0,0,0,0,12,2,1,2,36,2114,1.702932829
1815,Madison,Democratic-  Republican,4,7,1,0,0,2,0,7,1,1,10,33,3154,1.046290425
1816,Madison,Democratic-  Republican,4,9,3,0,0,2,0,10,0,1,12,41,3367,1.217701218
1817,Monroe,Democratic-  Republican,1,0,4,0,0,1,0,20,1,2,18,47,4427,1.061667043
1818,Monroe,Democratic-  Republican,2,1,1,0,0,0,0,19,4,3,24,54,4377,1.233721727
1819,Monroe,Democratic-  Republican,4,0,3,0,0,2,0,15,2,2,31,59,4711,1.252388028
1820,Monroe,Democratic-  Republican,0,0,6,0,0,1,0,25,3,3,16,54,3441,1.569311247
1821,Monroe,Democratic-  Republican,2,0,7,0,0,2,0,22,1,1,34,69,5823,1.184956208
1822,Monroe,Democratic-  Republican,2,1,1,0,0,3,0,29,4,0,20,60,4734,1.267427123
1823,Monroe,Democratic-  Republican,5,2,3,0,0,2,0,31,7,2,24,76,6382,1.190849264
1824,Monroe,Democratic-  Republican,2,3,2,0,1,4,0,34,9,2,20,77,8418,0.914706581
1825,Adams,Democratic-  Republican,7,7,6,1,0,4,3,13,5,3,24,73,9003,0.810840831
1826,Adams,Democratic-  Republican,3,1,7,1,0,3,0,14,5,3,46,83,7748,1.071244192
