against,american,change,child,crisis,faith,family,great,hope,length,president,together,unite,year
3.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,2057.0,Adams,1.0,19.0,1797.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2218.0,Adams,1.0,14.0,1798.0
1.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,1.0,1505.0,Adams,1.0,10.0,1799.0
0.0,0.0,2.0,0.0,0.0,3.0,0.0,7.0,1.0,1372.0,Adams,1.0,7.0,1800.0
7.0,7.0,6.0,1.0,0.0,4.0,3.0,13.0,5.0,9003.0,Adams,3.0,24.0,1825.0
3.0,1.0,7.0,1.0,0.0,3.0,0.0,14.0,5.0,7748.0,Adams,3.0,46.0,1826.0
1.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0,6.0,6987.0,Adams,2.0,30.0,1827.0
2.0,3.0,7.0,2.0,0.0,0.0,1.0,31.0,5.0,7313.0,Adams,2.0,26.0,1828.0
3.0,14.0,5.0,0.0,0.0,0.0,1.0,4.0,5.0,3822.0,Arthur,0.0,19.0,1881.0
3.0,8.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0,3067.0,Arthur,0.0,14.0,1882.0
5.0,6.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0,3784.0,Arthur,0.0,16.0,1883.0
6.0,17.0,7.0,2.0,0.0,1.0,0.0,9.0,5.0,8947.0,Arthur,3.0,29.0,1884.0
30.0,7.0,10.0,0.0,3.0,3.0,2.0,42.0,6.0,13651.0,Buchanan,5.0,45.0,1857.0
21.0,22.0,7.0,2.0,2.0,1.0,0.0,31.0,11.0,16347.0,Buchanan,1.0,70.0,1858.0
22.0,26.0,9.0,1.0,1.0,6.0,0.0,25.0,8.0,12336.0,Buchanan,2.0,32.0,1859.0
30.0,17.0,8.0,1.0,0.0,5.0,1.0,19.0,7.0,14025.0,Buchanan,3.0,41.0,1860.0
4.0,1.0,8.0,0.0,0.0,6.0,1.0,30.0,7.0,11438.0,Buren,2.0,30.0,1837.0
14.0,5.0,13.0,0.0,1.0,6.0,0.0,17.0,11.0,11478.0,Buren,1.0,60.0,1838.0
6.0,4.0,15.0,1.0,1.0,8.0,0.0,32.0,6.0,13419.0,Buren,1.0,20.0,1839.0
5.0,5.0,5.0,0.0,2.0,6.0,1.0,31.0,8.0,8979.0,Buren,1.0,17.0,1840.0
6.0,16.0,6.0,10.0,3.0,2.0,1.0,13.0,11.0,4821.0,Bush,3.0,1.0,1989.0
1.0,23.0,12.0,15.0,0.0,2.0,5.0,9.0,10.0,3770.0,Bush,2.0,3.0,1990.0
3.0,25.0,1.0,7.0,0.0,0.0,1.0,5.0,2.0,3765.0,Bush,5.0,12.0,1991.0
0.0,22.0,14.0,11.0,0.0,1.0,8.0,4.0,2.0,4718.0,Bush,9.0,2.0,1992.0
2.0,13.0,2.0,18.0,1.0,4.0,4.0,11.0,7.0,4395.0,Bush,6.0,2.0,2001.0
4.0,23.0,2.0,9.0,2.0,1.0,0.0,10.0,5.0,3824.0,Bush,5.0,6.0,2002.0
10.0,31.0,3.0,10.0,1.0,4.0,2.0,11.0,4.0,5372.0,Bush,3.0,15.0,2003.0
7.0,27.0,3.0,22.0,0.0,6.0,0.0,14.0,2.0,5171.0,Bush,5.0,10.0,2004.0
3.0,18.0,5.0,15.0,0.0,3.0,1.0,14.0,5.0,5049.0,Bush,4.0,6.0,2005.0
7.0,28.0,5.0,10.0,1.0,4.0,1.0,11.0,20.0,5321.0,Bush,6.0,7.0,2006.0
5.0,21.0,2.0,15.0,0.0,2.0,1.0,14.0,10.0,5598.0,Bush,10.0,12.0,2007.0
7.0,31.0,5.0,12.0,0.0,4.0,0.0,6.0,13.0,5752.0,Bush,9.0,4.0,2008.0
3.0,23.0,0.0,2.0,5.0,4.0,1.0,12.0,3.0,4580.0,Carter,11.0,8.0,1978.0
6.0,30.0,5.0,5.0,0.0,5.0,1.0,4.0,3.0,3243.0,Carter,5.0,7.0,1979.0
3.0,7.0,5.0,0.0,1.0,0.0,0.0,8.0,3.0,3396.0,Carter,7.0,13.0,1980.0
18.0,74.0,29.0,23.0,5.0,1.0,4.0,37.0,24.0,33564.0,Carter,19.0,73.0,1981.0
23.0,19.0,18.0,6.0,0.0,8.0,3.0,25.0,11.0,19746.0,Cleveland,2.0,70.0,1885.0
13.0,21.0,16.0,2.0,0.0,3.0,2.0,17.0,10.0,15135.0,Cleveland,3.0,37.0,1886.0
2.0,5.0,3.0,1.0,0.0,0.0,3.0,8.0,1.0,5289.0,Cleveland,2.0,1.0,1887.0
6.0,23.0,6.0,3.0,1.0,1.0,0.0,12.0,6.0,9020.0,Cleveland,2.0,19.0,1888.0
14.0,19.0,11.0,2.0,0.0,3.0,1.0,28.0,5.0,12283.0,Cleveland,4.0,42.0,1893.0
20.0,25.0,8.0,0.0,0.0,2.0,2.0,31.0,8.0,15892.0,Cleveland,2.0,45.0,1894.0
18.0,15.0,16.0,0.0,0.0,6.0,0.0,27.0,7.0,14671.0,Cleveland,4.0,58.0,1895.0
15.0,11.0,10.0,4.0,0.0,6.0,1.0,27.0,17.0,15443.0,Cleveland,5.0,37.0,1896.0
4.0,42.0,16.0,21.0,1.0,1.0,3.0,9.0,6.0,7007.0,Clinton,7.0,5.0,1993.0
4.0,42.0,9.0,23.0,3.0,0.0,12.0,3.0,9.0,7400.0,Clinton,8.0,4.0,1994.0
5.0,40.0,12.0,25.0,1.0,2.0,6.0,9.0,7.0,9143.0,Clinton,17.0,5.0,1995.0
5.0,49.0,2.0,45.0,0.0,2.0,9.0,5.0,3.0,6283.0,Clinton,18.0,5.0,1996.0
2.0,38.0,5.0,37.0,2.0,2.0,7.0,10.0,3.0,6742.0,Clinton,13.0,4.0,1997.0
7.0,38.0,9.0,44.0,2.0,1.0,9.0,8.0,8.0,7283.0,Clinton,12.0,7.0,1998.0
0.0,48.0,5.0,29.0,3.0,0.0,6.0,8.0,10.0,7472.0,Clinton,8.0,3.0,1999.0
4.0,46.0,6.0,52.0,1.0,3.0,7.0,14.0,4.0,7387.0,Clinton,7.0,2.0,2000.0
5.0,13.0,5.0,1.0,0.0,3.0,0.0,29.0,3.0,6701.0,Coolidge,3.0,4.0,1923.0
2.0,10.0,4.0,0.0,0.0,0.0,0.0,29.0,6.0,6964.0,Coolidge,1.0,3.0,1924.0
2.0,3.0,11.0,0.0,0.0,2.0,2.0,32.0,1.0,10843.0,Coolidge,1.0,6.0,1925.0
3.0,13.0,5.0,0.0,1.0,2.0,1.0,30.0,3.0,10308.0,Coolidge,4.0,6.0,1926.0
5.0,10.0,4.0,2.0,0.0,1.0,0.0,22.0,1.0,8777.0,Coolidge,0.0,9.0,1927.0
4.0,17.0,5.0,1.0,0.0,2.0,1.0,13.0,3.0,8060.0,Coolidge,0.0,10.0,1928.0
6.0,11.0,5.0,2.0,0.0,0.0,2.0,13.0,5.0,5974.0,Eisenhower,1.0,12.0,1954.0
2.0,11.0,3.0,3.0,0.0,8.0,0.0,15.0,6.0,7234.0,Eisenhower,4.0,10.0,1955.0
10.0,14.0,8.0,8.0,0.0,0.0,1.0,19.0,2.0,8245.0,Eisenhower,5.0,16.0,1956.0
10.0,6.0,5.0,3.0,0.0,0.0,1.0,4.0,3.0,4129.0,Eisenhower,1.0,11.0,1957.0
6.0,13.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,4911.0,Eisenhower,2.0,6.0,1958.0
6.0,8.0,3.0,2.0,0.0,0.0,2.0,18.0,8.0,4869.0,Eisenhower,1.0,8.0,1959.0
